Skill,Category,Priority,Type,Aliases
A/B Testing,Data Analytics,Medium,Technical,AB Testing
AJAX,Web Development,Medium,Technical,
API Testing,Testing,High,Technical,
AUC,Machine Learning,Medium,Technical,ROC AUC
AWS,DevOps,High,Technical,Amazon Web Services
AWS Lambda,Cloud Computing,High,Technical,Lambda
Accuracy,Machine Learning,High,Technical,
Activation Function,Deep Learning,High,Technical,
Adam Optimizer,Deep Learning,High,Technical,Adam
Adaptability,Soft Skills,High,Soft,
Agile Mindset,Soft Skills,Medium,Soft,
Albumentations,Computer Vision,Medium,Technical,
Amazon EC2,Cloud Computing,High,Technical,EC2
Amazon RDS,Cloud Computing,Medium,Technical,RDS
Amazon Redshift,Database,Medium,Technical,Redshift
Amazon S3,Cloud Computing,High,Technical,S3
Amazon Web Services,Cloud Computing,High,Technical,AWS
Anaconda,Tools,Medium,Technical,
Analytical Thinking,Soft Skills,High,Soft,
Android Development,Mobile Development,High,Technical,
Angular,Web Development,Medium,Technical,
Ansible,DevOps,Medium,Technical,
Apache Airflow,Data Engineering,High,Technical,
Apache Flink,Big Data,Medium,Technical,
Apache HBase,Database,Medium,Technical,HBase
Apache HTTP Server,DevOps,Low,Technical,Apache
Apache Hive,Big Data,Medium,Technical,
Apache Kafka,Data Engineering,High,Technical,
Apache Pig,Big Data,Low,Technical,
Apache Spark,Data Engineering,High,Technical,
Apache Spark SQL,Big Data,Medium,Technical,
Apache Storm,Big Data,Low,Technical,
Application Security,Cybersecurity,High,Technical,AppSec
Artificial Neural Networks,Deep Learning,High,Technical,ANN
Assembly,Programming Language,Low,Technical,ASM
Attention Mechanism,Deep Learning,High,Technical,Attention
Attention to Detail,Soft Skills,Medium,Soft,
Autoencoder,Deep Learning,Medium,Technical,
Automation Testing,Testing,High,Technical,
Azure App Service,Cloud Computing,Medium,Technical,
Azure Functions,Cloud Computing,Medium,Technical,
BERT,NLP,High,Technical,Bidirectional Encoder Representations from Transformers
Backpropagation,Deep Learning,High,Technical,
Bag of Words,NLP,Medium,Technical,BoW
Bash,DevOps,Medium,Technical,Shell
Batch Normalization,Deep Learning,Medium,Technical,
BigQuery,Data Engineering,High,Technical,
Binary Crossentropy,Deep Learning,Medium,Technical,
Bitbucket,DevOps,Low,Technical,
Bootstrap,Web Development,Medium,Technical,
Business Intelligence,Data Analytics,Medium,Technical,BI
C,Programming Language,Medium,Technical,
C#,Programming Language,Medium,Technical,CSharp
C++,Programming Language,High,Technical,CPP
CDN,Networking,Medium,Technical,
CI/CD,DevOps,High,Technical,Continuous Integration Continuous Deployment
CSS,Web Development,High,Technical,CSS3
Cassandra,Database,Medium,Technical,Apache Cassandra
CatBoost,Machine Learning,Medium,Technical,
Categorical Crossentropy,Deep Learning,Medium,Technical,
CentOS,DevOps,Low,Technical,
ChromaDB,NLP,Medium,Technical,Chroma
Cloud Functions,Cloud Computing,Medium,Technical,Serverless Functions
Cloud Run,Cloud Computing,Medium,Technical,Google Cloud Run
Cloud SQL,Cloud Computing,Medium,Technical,
Cloud Security,Cybersecurity,High,Technical,
Cloud Storage,Cloud Computing,High,Technical,
Coaching,Soft Skills,Low,Soft,
Collaboration,Soft Skills,High,Soft,
Communication,Soft Skills,High,Soft,
Computer Vision,Computer Vision,High,Technical,CV
Conflict Resolution,Soft Skills,Medium,Soft,
Confluence,Tools,Medium,Technical,
Confusion Matrix,Machine Learning,High,Technical,
Continuous Learning,Soft Skills,High,Soft,Lifelong Learning
Contour Detection,Computer Vision,Medium,Technical,
Convolutional Neural Networks,Deep Learning,High,Technical,CNN
CouchDB,Database,Low,Technical,
Creativity,Soft Skills,Medium,Soft,
Critical Thinking,Soft Skills,High,Soft,
Cron Jobs,Operating System,Low,Technical,
Cross Validation,Machine Learning,High,Technical,Cross-Validation
Customer Focus,Soft Skills,Medium,Soft,
Cybersecurity,Cybersecurity,High,Technical,Information Security
DBSCAN,Machine Learning,Medium,Technical,
DHCP,Networking,Medium,Technical,
DNS,Networking,High,Technical,
Dart,Programming Language,Medium,Technical,
Dashboard Development,Data Analytics,Medium,Technical,Dashboards
Data Cleaning,Data Analytics,High,Technical,
Data Interpretation,Data Analytics,Medium,Technical,
Data Lake,Data Engineering,Medium,Technical,
Data Pipeline,Data Engineering,High,Technical,
Data Visualization,Data Analytics,High,Technical,
Data Warehouse,Data Engineering,High,Technical,
Data Wrangling,Data Analytics,High,Technical,
Decision Making,Soft Skills,Medium,Soft,
Decision Tree,Machine Learning,High,Technical,Decision Trees
Deep Neural Networks,Deep Learning,High,Technical,DNN
Delta Lake,Data Engineering,Medium,Technical,
Detectron2,Computer Vision,Medium,Technical,
Digital Forensics,Cybersecurity,Low,Technical,
DigitalOcean,Cloud Computing,Medium,Technical,
DistilBERT,NLP,Medium,Technical,
Distributed Computing,Big Data,High,Technical,
Django,Web Development,High,Technical,
Doc2Vec,NLP,Medium,Technical,
Docker,DevOps,High,Technical,
Docker Compose,DevOps,Medium,Technical,
Docker Desktop,Tools,Medium,Technical,
Dropout,Deep Learning,Medium,Technical,
DynamoDB,Database,Medium,Technical,AWS DynamoDB
ELT,Data Engineering,Medium,Technical,
ETL,Data Engineering,High,Technical,
Edge Detection,Computer Vision,Medium,Technical,
Elasticsearch,Database,Medium,Technical,ElasticSearch
Embedding Layer,Deep Learning,High,Technical,Embeddings
Emotional Intelligence,Soft Skills,Medium,Soft,EQ
Encoder-Decoder Architecture,Deep Learning,Medium,Technical,Seq2Seq
Encryption,Cybersecurity,High,Technical,Cryptography
Endpoint Security,Cybersecurity,Medium,Technical,
Ethical Hacking,Cybersecurity,Medium,Technical,
Exploratory Data Analysis,Data Analytics,High,Technical,EDA
Express.js,Web Development,High,Technical,Express
F1 Score,Machine Learning,High,Technical,F1
FAISS,NLP,High,Technical,Facebook AI Similarity Search
FTP,Networking,Medium,Technical,
Face Detection,Computer Vision,Medium,Technical,
Face Recognition,Computer Vision,Medium,Technical,
FastAPI,Web Development,High,Technical,
FastText,NLP,Medium,Technical,
Faster R-CNN,Computer Vision,Medium,Technical,Faster RCNN
Feature Engineering,Data Analytics,High,Technical,
Feature Extraction,Computer Vision,High,Technical,
Feature Selection,Machine Learning,High,Technical,
Figma,Tools,Low,Technical,
File System Management,Operating System,Medium,Technical,
Fine-Tuning,Deep Learning,High,Technical,Fine Tuning
Firebase,Cloud Computing,Medium,Technical,
Firebase Firestore,Database,Medium,Technical,Firestore
Firewalls,Cybersecurity,Medium,Technical,
Flask,Web Development,High,Technical,
Flexibility,Soft Skills,Medium,Soft,
Flutter,Mobile Development,High,Technical,
GPT,NLP,High,Technical,Generative Pre-trained Transformer
Gated Recurrent Unit,Deep Learning,Medium,Technical,GRU
Gemma,NLP,Medium,Technical,
Generative Adversarial Networks,Deep Learning,Medium,Technical,GAN
Gensim,NLP,Medium,Technical,
Git,DevOps,High,Technical,
GitHub,DevOps,High,Technical,
GitHub Actions,DevOps,High,Technical,
GitLab,DevOps,Medium,Technical,
GitLab CI/CD,DevOps,Medium,Technical,
Go,Programming Language,Medium,Technical,Golang
Google BigQuery,Database,High,Technical,BigQuery
Google Cloud Platform,Cloud Computing,High,Technical,GCP
Google Cloud Storage,Cloud Computing,Medium,Technical,GCS
Google Colab,Tools,Medium,Technical,
Google Compute Engine,Cloud Computing,Medium,Technical,GCE
Google Maps API,Mobile Development,Medium,Technical,
Google Sheets,Data Analytics,Medium,Technical,Sheets
Gradient Descent,Deep Learning,High,Technical,
Gradio,Web Development,Medium,Technical,
GraphQL,Web Development,Medium,Technical,
Grid Search,Machine Learning,Medium,Technical,GridSearchCV
HDFS,Big Data,Medium,Technical,
HTML,Web Development,High,Technical,HTML5
HTTP,Networking,High,Technical,
HTTPS,Networking,High,Technical,
Haar Cascade,Computer Vision,Medium,Technical,
Hadoop,Big Data,High,Technical,
Helm,DevOps,Medium,Technical,
Heroku,Cloud Computing,Low,Technical,
Hierarchical Clustering,Machine Learning,Medium,Technical,
Hugging Face,NLP,High,Technical,HuggingFace
Hyperparameter Tuning,Machine Learning,High,Technical,
IBM Cloud,Cloud Computing,Low,Technical,
IBM Db2,Database,Low,Technical,DB2
Identity and Access Management,Cybersecurity,High,Technical,IAM
Image Augmentation,Computer Vision,High,Technical,
Image Classification,Computer Vision,High,Technical,
Image Processing,Computer Vision,High,Technical,
Image Segmentation,Computer Vision,High,Technical,
Incident Response,Cybersecurity,Medium,Technical,
Innovation,Soft Skills,Medium,Soft,
Instance Segmentation,Computer Vision,Medium,Technical,
Integration Testing,Testing,High,Technical,
JMeter,Testing,Medium,Technical,
JSON,Web Development,High,Technical,
JUnit,Testing,Medium,Technical,
JWT,Web Development,Medium,Technical,JSON Web Token
Java,Programming Language,High,Technical,
JavaScript,Programming Language,High,Technical,JS;ECMAScript
Jenkins,DevOps,Medium,Technical,
Jetpack Compose,Mobile Development,Medium,Technical,
Jinja2,Web Development,Low,Technical,
Jira,Tools,High,Technical,
Julia,Programming Language,Medium,Technical,
Jupyter Notebook,Tools,High,Technical,
K-Means Clustering,Machine Learning,Medium,Technical,KMeans
K-Nearest Neighbors,Machine Learning,Medium,Technical,KNN
